Processor,Time,Bags
BELT 1,2:38:00 AM,0
BELT 2,2:38:00 AM,0
BELT 4,2:38:00 AM,0
BELT 3,2:38:00 AM,0
BELT 1,2:39:00 AM,0
BELT 2,2:39:00 AM,0
BELT 4,2:39:00 AM,0
BELT 3,2:39:00 AM,0
BELT 1,2:40:00 AM,0
BELT 2,2:40:00 AM,0
BELT 4,2:40:00 AM,0
BELT 3,2:40:00 AM,0
BELT 1,2:41:00 AM,0
BELT 2,2:41:00 AM,0
BELT 4,2:41:00 AM,0
BELT 3,2:41:00 AM,0
BELT 1,2:42:00 AM,0
BELT 2,2:42:00 AM,0
BELT 4,2:42:00 AM,0
BELT 3,2:42:00 AM,0
BELT 1,2:43:00 AM,0
BELT 2,2:43:00 AM,0
BELT 4,2:43:00 AM,0
BELT 3,2:43:00 AM,0
BELT 1,2:44:00 AM,0
BELT 2,2:44:00 AM,0
BELT 4,2:44:00 AM,0
BELT 3,2:44:00 AM,0
BELT 1,2:45:00 AM,0
BELT 2,2:45:00 AM,0
BELT 4,2:45:00 AM,0
BELT 3,2:45:00 AM,0
BELT 1,2:46:00 AM,0
BELT 2,2:46:00 AM,0
BELT 4,2:46:00 AM,0
BELT 3,2:46:00 AM,0
BELT 1,2:47:00 AM,0
BELT 2,2:47:00 AM,0
BELT 4,2:47:00 AM,0
BELT 3,2:47:00 AM,0
BELT 1,2:48:00 AM,0
BELT 2,2:48:00 AM,0
BELT 4,2:48:00 AM,0
BELT 3,2:48:00 AM,0
BELT 1,2:49:00 AM,0
BELT 2,2:49:00 AM,0
BELT 4,2:49:00 AM,0
BELT 3,2:49:00 AM,0
BELT 1,2:50:00 AM,0
BELT 2,2:50:00 AM,0
BELT 4,2:50:00 AM,0
BELT 3,2:50:00 AM,0
BELT 1,2:51:00 AM,0
BELT 2,2:51:00 AM,0
BELT 4,2:51:00 AM,0
BELT 3,2:51:00 AM,0
BELT 1,2:52:00 AM,0
BELT 2,2:52:00 AM,0
BELT 4,2:52:00 AM,0
BELT 3,2:52:00 AM,0
BELT 1,2:53:00 AM,0
BELT 2,2:53:00 AM,0
BELT 4,2:53:00 AM,0
BELT 3,2:53:00 AM,0
BELT 1,2:54:00 AM,0
BELT 2,2:54:00 AM,0
BELT 4,2:54:00 AM,0
BELT 3,2:54:00 AM,0
BELT 1,2:55:00 AM,0
BELT 2,2:55:00 AM,0
BELT 4,2:55:00 AM,0
BELT 3,2:55:00 AM,0
BELT 1,2:56:00 AM,0
BELT 2,2:56:00 AM,0
BELT 4,2:56:00 AM,0
BELT 3,2:56:00 AM,0
BELT 1,2:57:00 AM,0
BELT 2,2:57:00 AM,0
BELT 4,2:57:00 AM,0
BELT 3,2:57:00 AM,0
BELT 1,2:58:00 AM,0
BELT 2,2:58:00 AM,0
BELT 4,2:58:00 AM,0
BELT 3,2:58:00 AM,0
BELT 1,2:59:00 AM,0
BELT 2,2:59:00 AM,0
BELT 4,2:59:00 AM,0
BELT 3,2:59:00 AM,0
BELT 1,3:00:00 AM,0
BELT 2,3:00:00 AM,0
BELT 4,3:00:00 AM,0
BELT 3,3:00:00 AM,0
BELT 1,3:01:00 AM,0
BELT 2,3:01:00 AM,0
BELT 4,3:01:00 AM,0
BELT 3,3:01:00 AM,0
BELT 1,3:02:00 AM,0
BELT 2,3:02:00 AM,0
BELT 4,3:02:00 AM,0
BELT 3,3:02:00 AM,0
BELT 1,3:03:00 AM,0
BELT 2,3:03:00 AM,0
BELT 4,3:03:00 AM,0
BELT 3,3:03:00 AM,0
BELT 1,3:04:00 AM,0
BELT 2,3:04:00 AM,0
BELT 4,3:04:00 AM,0
BELT 3,3:04:00 AM,0
BELT 1,3:05:00 AM,0
BELT 2,3:05:00 AM,0
BELT 4,3:05:00 AM,0
BELT 3,3:05:00 AM,0
BELT 1,3:06:00 AM,0
BELT 2,3:06:00 AM,0
BELT 4,3:06:00 AM,0
BELT 3,3:06:00 AM,0
BELT 1,3:07:00 AM,0
BELT 2,3:07:00 AM,0
BELT 4,3:07:00 AM,0
BELT 3,3:07:00 AM,0
BELT 1,3:08:00 AM,0
BELT 2,3:08:00 AM,0
BELT 4,3:08:00 AM,0
BELT 3,3:08:00 AM,0
BELT 1,3:09:00 AM,0
BELT 2,3:09:00 AM,0
BELT 4,3:09:00 AM,0
BELT 3,3:09:00 AM,0
BELT 1,3:10:00 AM,0
BELT 2,3:10:00 AM,0
BELT 4,3:10:00 AM,0
BELT 3,3:10:00 AM,0
BELT 1,3:11:00 AM,0
BELT 2,3:11:00 AM,0
BELT 4,3:11:00 AM,0
BELT 3,3:11:00 AM,0
BELT 1,3:12:00 AM,0
BELT 2,3:12:00 AM,0
BELT 4,3:12:00 AM,0
BELT 3,3:12:00 AM,0
BELT 1,3:13:00 AM,0
BELT 2,3:13:00 AM,0
BELT 4,3:13:00 AM,0
BELT 3,3:13:00 AM,0
BELT 1,3:14:00 AM,0
BELT 2,3:14:00 AM,0
BELT 4,3:14:00 AM,0
BELT 3,3:14:00 AM,0
BELT 1,3:15:00 AM,0
BELT 2,3:15:00 AM,0
BELT 4,3:15:00 AM,0
BELT 3,3:15:00 AM,0
BELT 1,3:16:00 AM,0
BELT 2,3:16:00 AM,0
BELT 4,3:16:00 AM,0
BELT 3,3:16:00 AM,0
BELT 1,3:17:00 AM,0
BELT 2,3:17:00 AM,0
BELT 4,3:17:00 AM,0
BELT 3,3:17:00 AM,0
BELT 1,3:18:00 AM,0
BELT 2,3:18:00 AM,0
BELT 4,3:18:00 AM,0
BELT 3,3:18:00 AM,0
BELT 1,3:19:00 AM,0
BELT 2,3:19:00 AM,0
BELT 4,3:19:00 AM,0
BELT 3,3:19:00 AM,0
BELT 1,3:20:00 AM,0
BELT 2,3:20:00 AM,0
BELT 4,3:20:00 AM,0
BELT 3,3:20:00 AM,0
BELT 1,3:21:00 AM,0
BELT 2,3:21:00 AM,0
BELT 4,3:21:00 AM,0
BELT 3,3:21:00 AM,0
BELT 1,3:22:00 AM,0
BELT 2,3:22:00 AM,0
BELT 4,3:22:00 AM,0
BELT 3,3:22:00 AM,0
BELT 1,3:23:00 AM,0
BELT 2,3:23:00 AM,0
BELT 4,3:23:00 AM,0
BELT 3,3:23:00 AM,0
BELT 1,3:24:00 AM,0
BELT 2,3:24:00 AM,0
